Timestamp,Where are you located? (Country and/or nearest Major city or hubs names),Biotech sub industry?,[OPTIONAL] Company Name,Company Details - public/private/start-up/ subsidiary of ,Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,[OPTIONAL]  Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value
5/12/2022 21:21:43,"Rockville, MD",Pharmaceutical (including “big pharma”),GSK,Public,5000+,Associate Scientist,Bachelors or Equivalent,3,77500,6200,Not Applicable/None,,
5/13/2022 3:13:21,San Diego,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Associate II,Bachelors or Equivalent,5,115000,11500,4000,,
5/13/2022 9:51:34,Bay Area,Diagnostics ,,Public,1000-5000,Scientist II ,PhD or Equivalent,2,155000,13500,7000,15000,
5/13/2022 10:22:37,"Halifax, Nova Scotia",Pharmaceutical (including “big pharma”),,Private,200-1000,Senior Analytical Chemist,Masters or Equivalent,9,74000,Not Applicable/None,Not Applicable/None,0,1000
5/13/2022 10:47:03,Rockville,Medical Devices,Tetracore,Private,50-200,Mechanical Engineer,Bachelors or Equivalent,2,78600,2000,Not Applicable/None,,
5/14/2022 2:29:51,Bay Area,Medical Devices,,Private,50-200,Research Associate 1,Bachelors or Equivalent,1,67000,Not Applicable/None,4000,0,0
5/14/2022 12:37:31,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist,Bachelors or Equivalent,5,107000,10700,10700,,
5/14/2022 14:10:25,Waltham,Pharmaceutical (including “big pharma”),Sanofi,Private,5000+,Sr. Research Associate,Masters or Equivalent,0,85000,8500,Not Applicable/None,,
5/14/2022 20:49:09,SF Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Associate Director,PhD or Equivalent,10,200000,40000,45000,10000,
5/14/2022 20:50:21,San Diego,Pharmaceutical (including “big pharma”),,Start-up,1-50,Director,PhD or Equivalent,10,220000,49500,Not Applicable/None,15000,
5/15/2022 4:06:21,Los Angeles,Pharmaceutical (including “big pharma”),Takeda,Public,5000+,Quality Analyst I,Bachelors or Equivalent,3,62000,Not Applicable/None,Not Applicable/None,,
5/15/2022 15:06:04,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Scientist I,PhD or Equivalent,0,130000,"13,000",Monopoly money,,
5/15/2022 15:48:13,Bay area,Academia/Research,,Start-up,50-200,Research Associate ,Masters or Equivalent,2,85000,Not Applicable/None,Not Applicable/None,,
5/15/2022 22:10:31,Philadelphia Metro Area,Pharmaceutical (including “big pharma”),,Private,50-200,Research Associate I,Bachelors or Equivalent,0,49000,Not Applicable/None,Not Applicable/None,,
5/16/2022 9:01:45,Bay Area ,Medical Devices,,Start-up,50-200,Scientist,PhD or Equivalent,0,130000,Not Applicable/None,Not Applicable/None,,8000
5/16/2022 11:46:53,Switzerland,Pharmaceutical (including “big pharma”),,Public,5000+,Director,Masters or Equivalent,5,200000,20%,Not Applicable/None,,30000
5/16/2022 15:54:34,RTP,Biotech,,Private,50-200,Research Associate I,Masters or Equivalent,1,50000,"varies >$2,000",Not Applicable/None,3000,
5/16/2022 17:41:49,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,QC Sr Manager,Bachelors or Equivalent,11,140000,21000,Not Applicable/None,,
5/16/2022 17:59:47,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Senior Manager,Masters or Equivalent,9,130000,24000,10000,,
5/16/2022 19:01:40,Philadelphia ,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Associate Scientist ,Bachelors or Equivalent,6,85000,8500,Not Applicable/None,,
5/17/2022 10:53:06,"Hayward, CA",Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist,PhD or Equivalent,0,145000,14500,Not Applicable/None,10000,10000
5/17/2022 11:47:34,Phoenix,Pharmaceutical (including “big pharma”),,Private,1000-5000,Associate Scientist II,PhD or Equivalent,0,107000,5300,Not Applicable/None,,
5/17/2022 13:25:42,"Ridgefield, CT",Pharmaceutical (including “big pharma”),,Private,5000+,Sr. Scientist,PhD or Equivalent,3,120000,Not Applicable/None,Not Applicable/None,0,3000
5/17/2022 14:09:26,Bay Area ,Academia/Research,,Public,50-200,Sr. Scientist,Masters or Equivalent,7,120000,12000,Not Applicable/None,,
5/17/2022 18:00:13,Cambridge ,Pharmaceutical (including “big pharma”),,Public,50-200,Research associate II,Masters or Equivalent,0,80000,2400,5000,0,0
5/17/2022 22:23:40,Greater Boston ,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist,Bachelors or Equivalent,8,84500,5000,Not Applicable/None,,
5/17/2022 22:59:11,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr scientist,PhD or Equivalent,3,150000,27000,25000,,
5/18/2022 16:55:52,Georgia,Pharmaceutical (including “big pharma”),,Public,1000-5000,Regulatory Affairs,PhD or Equivalent,8,138000,20000,20000,,
5/19/2022 12:45:30,Munich ,Hematology,,Private,200-1000,Technical assistant,Associate’s Degree or Equivalent,0,44200,Not Applicable/None,Not Applicable/None,,
5/19/2022 22:29:48,Boston,Pharmaceutical (including “big pharma”),Pfizer ,Public,5000+,Scientist ,Bachelors or Equivalent,6,93500,7500,Not Applicable/None,0,0
5/20/2022 17:56:48,Chicago,Industrial Fermentation (CO2 gas fermentation),LanzaTech,Private,200-1000,Scientist,PhD or Equivalent,1,115000,11500,Not Applicable/None,10000,
5/20/2022 22:34:04,San Diego,Pharmaceutical (including “big pharma”),,Private,5000+,Principal Scientist I,PhD or Equivalent,2,125000,18500,Not Applicable/None,,
5/21/2022 12:11:47,"Gaithersburg, Maryland ",Pharmaceutical (including “big pharma”),Catalent ,Public,5000+,Manufacturing Associate 1,Bachelors or Equivalent,0,62500,Not Applicable/None,Not Applicable/None,,
5/21/2022 21:42:09,"Baltimore, MD",Academia/Research,,Private,1000-5000,Biosignals Engineer,Masters or Equivalent,1,84000,Not Applicable/None,Not Applicable/None,4000,
5/21/2022 23:22:04,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Research Associate ,Masters or Equivalent,4,101000,7000,7000,10000,0
5/23/2022 12:16:59,San Diego,Medical Devices,,Public,200-1000,Clinical Scientist ,M.D./PharmD/D.D.S. or Equivalent,2,103000,10300,Not Applicable/None,5000,0
5/23/2022 18:39:23,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,"Associate Director, Commercial",PhD or Equivalent,5,180000,36000,2000,,
5/24/2022 0:17:39,Bay Area,Biotech ,,Start-up,1-50,Senior Researcher ,PhD or Equivalent,0,95000,Not Applicable/None,Will Start offering after a few months ,,10000
5/24/2022 14:13:57,Boston,Pharmaceutical (including “big pharma”),Ultragenyx ,Public,200-1000,Research associate I,Bachelors or Equivalent,0,80000,Not Applicable/None,Not Applicable/None,,
5/24/2022 20:47:24,San Diego,Pharmaceutical (including “big pharma”),,Private,50-200,Research Associate I,Bachelors or Equivalent,1,75000,Not Applicable/None,2000,,
5/25/2022 11:39:26,San Diego,Pharmaceutical (including “big pharma”),,Start-up,50-200,Scientist I,PhD or Equivalent,0,120000,12000,options,7000,20000
5/25/2022 13:12:42,New Jersey ,Pharmaceutical (including “big pharma”),,Public,5000+,Associate principal scientist ,PhD or Equivalent,6,136000,21000,Not Applicable/None,,
5/25/2022 22:34:07,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Senior Research Associate I,Bachelors or Equivalent,4,102000,8160,10000,6000,
5/26/2022 15:20:55,Bay Area ,Pharmaceutical (including “big pharma”),,Start-up,50-200,Sr. Scientist 2,PhD or Equivalent,7,170000,29750,Not Applicable/None,,
5/26/2022 19:21:20,Seattle WA,Life Science tools,,Public,200-1000,Manufacturing Research Associate I I,Bachelors or Equivalent,2,59500,"2,000","10,000",,
5/26/2022 19:29:39,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,QA Analyst,Bachelors or Equivalent,2,105000,12%,25k,20000,10000
5/26/2022 21:33:27,San Francisco ,Pharmaceutical (including “big pharma”),Roche,Public,5000+,System support engineer,Bachelors or Equivalent,6,93000,4600,Not Applicable/None,,
5/27/2022 18:44:46,Cambridge Massachusetts ,Pharmaceutical (including “big pharma”),Pfizer ,Public,5000+,Scientist ,Bachelors or Equivalent,6,94000,7000,Not Applicable/None,0,0
5/28/2022 14:03:39,Houston,Pharmaceutical (including “big pharma”),,Public,5000+,Core Technician,Masters or Equivalent,0,49400,Not Applicable/None,Not Applicable/None,,
5/28/2022 16:38:43,South San Francisco ,Academia/Research,,Start-up,1-50,Research associate ,Bachelors or Equivalent,1,63500,Not Applicable/None,Not Applicable/None,0,0
5/28/2022 17:26:14,Boston MA ,Pharmaceutical (including “big pharma”),,Private,1-50,Senior Scientist,Masters or Equivalent,19,143000,"20,000",Not Applicable/None,5000,
5/28/2022 19:39:46,Raleigh,Pharmaceutical (including “big pharma”),,Start-up,50-200,Sr Scientist,PhD or Equivalent,3,120000,12000,Not Applicable/None,,
5/30/2022 10:21:24,San Diego,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Scientist,PhD or Equivalent,7,145000,25000,30000,,
5/30/2022 22:54:41,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Manufacturing associate II,Bachelors or Equivalent,3,7550,5000,15000,,
5/31/2022 2:22:29,"San Diego, CA",Pharmaceutical (including “big pharma”),,Start-up,50-200,Director,PhD or Equivalent,19,200000,40000,Not Applicable/None,10000,
5/31/2022 4:21:29,San Francisco,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Bachelors or Equivalent,4,102000,10200,2600 Options ,,
5/31/2022 8:49:06,Boston,Cosmetics,Manus bio,Private,50-200,Scientist,PhD or Equivalent,0,103000,Not Applicable/None,25000,,3000
5/31/2022 12:10:37,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,50-200,Scientist II,PhD or Equivalent,3,132000,Not Applicable/None,Not Applicable/None,,6000
5/31/2022 17:19:29,"Houston,TX",Academia/Research,,Start-up,50-200,Scientific Development Program Associate,Bachelors or Equivalent,1,65000,6800,73000,,
5/31/2022 19:57:35,nj,Pharmaceutical (including “big pharma”),,Private,5000+,qa,Bachelors or Equivalent,6,110000,15000,Not Applicable/None,,
5/31/2022 21:58:14,Montreal,Academia/Research,McGill University ,Academia/College/Universities,5000+,Research Technician ,Associate’s Degree or Equivalent,3,46592,Not Applicable/None,Not Applicable/None,,
6/1/2022 17:23:23,DC,Pharmaceutical (including “big pharma”),,Public,1000-5000,Director,Bachelors or Equivalent,17,240000,50000,130000,,
6/2/2022 12:52:28,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Senior Research Associate,Masters or Equivalent,0,90000,9000,Not Applicable/None,,7500
6/2/2022 14:45:04,"Boston, MA",Pharmaceutical (including “big pharma”),,Start-up,1-50,Senior Scientist,PhD or Equivalent,4,150000,15%,Not Applicable/None,10000,
6/2/2022 15:17:44,Athens,bioplastics,,Start-up,200-1000,Bioprocesses Technician,High School or Equivalent,0,45697.6,Not Applicable/None,Not Applicable/None,,
6/2/2022 23:06:50,Bay Area ,Biotech,,Private,50-200,Sr. Research Associate ,Bachelors or Equivalent,4,103000,8% bonus ,Not Applicable/None,10000,
6/3/2022 10:03:12,San Francisco,synbio,,Start-up,200-1000,Research Associate 1,Bachelors or Equivalent,3,78000,Not Applicable/None,Not Applicable/None,,
6/3/2022 15:04:25,Boston,Pharmaceutical (including “big pharma”),Resilience,Private,1000-5000,Associate Director,PhD or Equivalent,7,170000,17000,17000,,
6/3/2022 15:23:43,"Boston, MA",Pharmaceutical (including “big pharma”),,Public,50-200,"Associate Director, Scientific Communications ",PhD or Equivalent,7,165000,"33,000",68970,5000,
6/3/2022 21:52:38,Seattle but I work remotely from FL,Academia/Research,,Public,200-1000,Intern,Masters or Equivalent,2,60000,Not Applicable/None,Not Applicable/None,,
6/4/2022 1:23:25,San Diego,Pharmaceutical (including “big pharma”),ImmunityBio,Public,,Purchasing Assistant ,Bachelors or Equivalent,1,65000,5000,Not Applicable/None,,
6/4/2022 17:37:29,San Diego ,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr Scientist/Manager ,PhD or Equivalent,6,145000,15%,Not Applicable/None,7500,
6/5/2022 0:56:34,Boston,Biotechnology,,Start-up,1-50,Sr. Scientist,PhD or Equivalent,6,160000,24000,50000,,
6/5/2022 1:09:49,Bay area ,Animal Health,,Public,5000+,Scientist ,PhD or Equivalent,0,120000,Not Applicable/None,Not Applicable/None,0,0
6/5/2022 10:10:28,Bay Area,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Scientist I,Bachelors or Equivalent,9,140000,16800,Not Applicable/None,,
6/5/2022 15:36:36,Philadelphia,Academia/Research,Century Therapeutics,Public,50-200,Research Associate,Bachelors or Equivalent,1,95000,4750,Not Applicable/None,,
6/5/2022 23:04:55,Boston,Biologics,,Public,200-1000,Associate scientist ,Masters or Equivalent,0,95000,9500,3000,3000,
6/6/2022 14:26:25,Bay Area - Mid Penninsula,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Research Associate 1,Masters or Equivalent,4,98000,9800,yes,0,0
6/6/2022 14:34:05,Cambridge UK,Sequencing/Genetic Analysis,,Public,5000+,Data Steward I,Bachelors or Equivalent,1,35700,1800,2500,,
6/6/2022 20:10:17,U.K.,Academia/Research,,Academia/College/Universities,5000+,Research Associate,PhD or Equivalent,18,31400,Not Applicable/None,Not Applicable/None,,
6/6/2022 22:00:11,Seattle,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Private,5000+,Senior research associate,Bachelors or Equivalent,1,85000,5000,Not Applicable/None,5000,
6/6/2022 23:09:15,Boston,Academia/Research,Dana farber Cancer institute,Academia/College/Universities,5000+,Research fellow,PhD or Equivalent,4,64000,Not Applicable/None,Not Applicable/None,,
6/7/2022 16:11:47,Bay Area,Pharmaceutical (including “big pharma”),Genentech,Private,1000-5000,Scientist I,PhD or Equivalent,0,130000,Not Applicable/None,Not Applicable/None,,
6/9/2022 16:33:42,San Francisco,Pharmaceutical (including “big pharma”),,Public,1000-5000,Quality Sr Associate,Bachelors or Equivalent,8,120000,15000,15000,,
6/9/2022 18:45:47,Seattle,Pharmaceutical (including “big pharma”),BMS,Public,5000+,Scientist ,Masters or Equivalent,6,123000,12300,Not Applicable/None,,
6/9/2022 22:25:31,New Jersey,Pharmaceutical (including “big pharma”),,Public,5000+,Senior Scientist,PhD or Equivalent,6,130000,16900,Not Applicable/None,5000,25000
6/9/2022 22:29:56,Minnesota,Academia/Research,,Private,5000+,Clinical lab tech,Bachelors or Equivalent,3,68500,Not Applicable/None,Not Applicable/None,,
6/10/2022 13:02:01,California,Pharmaceutical (including “big pharma”),,Public,50-200,Scientist II,PhD or Equivalent,6,135000,10000,Not Applicable/None,,
6/11/2022 3:45:29,Bay Area,Pharmaceutical (including “big pharma”),,Public,1000-5000,Senior research associate,Masters or Equivalent,6,115,5,Not Applicable/None,,
6/11/2022 6:17:32,"Canada, Ottawa",Academia/Research,,Academia/College/Universities,50-200,Lab Technician,Associate’s Degree or Equivalent,2,45000,Not Applicable/None,Not Applicable/None,,
6/11/2022 10:33:29,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist,PhD or Equivalent,0,110000,15%,Not Applicable/None,10000,
6/11/2022 17:00:37,Boston,Pharmaceutical (including “big pharma”),,Private,1000-5000,Associate Director,PhD or Equivalent,12,180000,36000,Not Applicable/None,20000,
6/11/2022 17:13:59,Philadelphia metro,Pharmaceutical (including “big pharma”),Catalent,Public,5000+,QA Inspector,Bachelors or Equivalent,0,50000,Not Applicable/None,Not Applicable/None,,
6/11/2022 19:57:36,Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Research Associate III,Bachelors or Equivalent,3,99000,9900,1000,,
6/13/2022 0:37:38,Denver,Pharmaceutical (including “big pharma”),,Private,1-50,Senior Scientist,PhD or Equivalent,7,110000,11000,Not Applicable/None,,
6/13/2022 19:00:08,DC area,Pharmaceutical (including “big pharma”),,Public,1000-5000,Manager,Bachelors or Equivalent,7,125000,75000,Not Applicable/None,,
6/13/2022 20:43:10,San Francisco,Pharmaceutical (including “big pharma”),,Private,1-50,Senior Research Associate II,Bachelors or Equivalent,7,110000,Not Applicable/None,Not Applicable/None,2500,
6/13/2022 23:36:32,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Scientist,PhD or Equivalent,3,104000,Not Applicable/None,Not Applicable/None,,
6/14/2022 17:48:40,Boston,Pharmaceutical (including “big pharma”),,Start-up,1-50,Principal Research Associate,Masters or Equivalent,3,100000,3000,Not Applicable/None,5000,
6/14/2022 20:49:10,Ireland,Pharmaceutical (including “big pharma”),BioMarin,Public,1000-5000,Biotechnician,Bachelors or Equivalent,3,53000,Between 10-14%,Not Applicable/None,,
6/16/2022 3:11:38,San Diego,Medical Devices,,Public,5000+,Senior Product Support Engineer,Masters or Equivalent,12,108000,5000,Not Applicable/None,,
6/16/2022 17:13:08,"Remote, TX, US",Pharmaceutical (including “big pharma”),Ergomed,Public,1000-5000,Project Manager,Masters or Equivalent,7,150000,Not Applicable/None,Not Applicable/None,,
6/17/2022 3:23:03,Seattle,Pharmaceutical (including “big pharma”),,Public,1000-5000,Director,PhD or Equivalent,11,200000,50000,25000,45000,50000
6/18/2022 8:48:05,Boston,Pharmaceutical (including “big pharma”),Alnylam,Private,1000-5000,Associate Scientist II,Bachelors or Equivalent,1,78000,7800,Not Applicable/None,10000,
6/18/2022 17:18:05,Boston,Pharmaceutical (including “big pharma”),,Start-up,1-50,Sr. Director,PhD or Equivalent,15,250000,50000,Not Applicable/None,50000,
6/18/2022 22:46:39,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Research Associate I,Bachelors or Equivalent,0,70000,7000,Not Applicable/None,,
6/20/2022 15:41:42,Bay Area,Pharmaceutical (including “big pharma”),VIR,Public,200-1000,Scientist I,PhD or Equivalent,0,130000,16250,5750,,40000
6/21/2022 16:29:29,"Remote, HQ in San Diego",synthetic biology,,Public,200-1000,Field Application Scientist,Masters or Equivalent,7,110000,"27,750",stock options,0,
6/21/2022 20:37:51,Chicago,Medical Devices,,Private,200-1000,Biomedical Engineer 1,Bachelors or Equivalent,3,70000,Not Applicable/None,Not Applicable/None,,
6/21/2022 21:18:17,Boston,Medical Devices,Qiagen,Public,5000+,Lab Technician,Bachelors or Equivalent,1,43680,Not Applicable/None,Not Applicable/None,0,0
6/21/2022 23:10:53,Boston/Cambridge,Pharmaceutical (including “big pharma”),,Start-up,50-200,Research Associate I ,Bachelors or Equivalent,2,77000,3850,Not Applicable/None,,
6/23/2022 22:16:47,Bay Area,Pharmaceutical (including “big pharma”),,Private,200-1000,Scientist,Bachelors or Equivalent,17,133000,20000,5000,,
6/24/2022 19:55:29,New Jersey,Pharmaceutical (including “big pharma”),,Start-up,1-50,Director,Bachelors or Equivalent,7,180000,Not Applicable/None,Not Applicable/None,,
6/25/2022 7:04:10,Boston,Pharmaceutical (including “big pharma”),Verve therapeutics,Public,50-200,Senior research associate,Masters or Equivalent,2,88000,11000,16000,0,
6/25/2022 19:18:48,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist,PhD or Equivalent,0,115000,Not Applicable/None,Not Applicable/None,10000,
6/25/2022 21:15:52,DC,Academia/Research,NCBI which is under NLM-NIH-HHS,Public,200-1000,Data Engineer ,Bachelors or Equivalent,0,100000,Not Applicable/None,Not Applicable/None,0,0
6/25/2022 23:23:47,San Diego,Medical Devices,,Start-up,1-50,Postdoctoral Scientist,PhD or Equivalent,5,75000,Not Applicable/None,7500,,1500
6/26/2022 8:25:32,U.k.,Pharmaceutical (including “big pharma”),Mogrify,Private,50-200,Scientist ,PhD or Equivalent,5,41200,Not Applicable/None,Not Applicable/None,,
6/26/2022 11:48:36,New York,Pharmaceutical (including “big pharma”),Cellectis,Public,200-1000,Research Associate I,Bachelors or Equivalent,1,75000,10%,Not Applicable/None,,
6/27/2022 9:34:01,UK,Academia/Research,University of Oxford,Academia/College/Universities,5000+,Research Assistant,Masters or Equivalent,2,31400,Not Applicable/None,Not Applicable/None,,
6/28/2022 7:53:43,Boston ,Academia/Research,,Subsidiary,200-1000,Scientist II ,PhD or Equivalent,0,120000,15%,Not Applicable/None,10000,10000
6/28/2022 12:31:09,Boston ,Pharmaceutical (including “big pharma”),,Public,5000+,Principal Scientist ,PhD or Equivalent,15,170000,Not Applicable/None,10000,10000,
6/28/2022 13:39:31,Boston,Pharmaceutical (including “big pharma”),Vertex,Private,1000-5000,Research Associate,Bachelors or Equivalent,0,83200,Not Applicable/None,Not Applicable/None,0,0
6/28/2022 21:58:29,RTP,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate,Bachelors or Equivalent,6,110000,11000,10000,0,0
6/29/2022 22:52:39,NY ,Pharmaceutical (including “big pharma”),,Public,5000+,Data analyst (senior manager indep contributor) ,Masters or Equivalent,8,150000,27000,17000,5000,
6/30/2022 22:28:55,Bay Area,Energy,Sandia National Laboratories,Government,1000-5000,Intern,High School or Equivalent,1,72800,Not Applicable/None,Not Applicable/None,0,0
7/1/2022 15:42:42,San Diego,Medical Devices,,Public,,Scientist,PhD or Equivalent,0,110000,Not Applicable/None,10000,,5000
7/1/2022 19:03:20,Boston,Pharmaceutical (including “big pharma”),Deciphera ,Public,200-1000,Clinical Trial Associate ,Bachelors or Equivalent,3,100000,"10,000","8,000",,
7/1/2022 23:00:01,Bay Area,Medical Devices,,Public,1000-5000,Manager,PhD or Equivalent,5,180000,15000,80000,15000,
7/2/2022 1:02:42,Seattle,Pharmaceutical (including “big pharma”),,Subsidiary,200-1000,Quality assurance,Bachelors or Equivalent,3,60500,7000,Not Applicable/None,,
7/4/2022 8:41:19,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Sr director ,Bachelors or Equivalent,10,300000,100000,100000,,
7/4/2022 12:27:23,San Diego,Pharmaceutical (including “big pharma”),,Private,5000+,Senior Principal Scientist,PhD or Equivalent,11,184000,20%,15%,,
7/6/2022 12:45:35,"Houston, TX",Pharmaceutical (including “big pharma”),Lonza,Public,200-1000,Research Associate,Bachelors or Equivalent,4,78000,5000,Not Applicable/None,,
7/6/2022 22:48:26,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Sr. Scientist,Bachelors or Equivalent,6,117000,11700,Not Applicable/None,,
7/8/2022 14:01:53,Los Angeles,Pharmaceutical (including “big pharma”),,Private,200-1000,Quality Assurance Specialist II,Bachelors or Equivalent,11,91734,9173,Not Applicable/None,,
7/8/2022 17:24:28,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Masters or Equivalent,3,77000,3850,Not Applicable/None,,
7/9/2022 2:26:21,San Diego ,Academia/Research,,Start-up,1-50,Scientist I,PhD or Equivalent,2,120000,20000,Not Applicable/None,5000,
7/9/2022 19:10:33,"Durham, NC",Pharmaceutical (including “big pharma”),Merck,Public,5000+,Quality Specialist II,Bachelors or Equivalent,4,80000,Not Applicable/None,Not Applicable/None,,
7/9/2022 19:11:12,RTP,Pharmaceutical (including “big pharma”),Biogen,Public,1000-5000,Quality Associate II,Bachelors or Equivalent,4,61000,Not Applicable/None,Not Applicable/None,,
7/10/2022 17:02:20,"Philadelphia, PA",Pharmaceutical (including “big pharma”),,Private,5000+,Sr. Engineer,Bachelors or Equivalent,10,115000,15000,Not Applicable/None,,25000
7/10/2022 19:15:58,Canada,Pharmaceutical (including “big pharma”),,Private,1000-5000,Business development manager,Masters or Equivalent,8,120000,Not Applicable/None,Not Applicable/None,,
7/10/2022 19:25:06,Los Angeles,Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Scientist,PhD or Equivalent,3,125000,18000,10000,,
7/11/2022 21:53:08,Bay Area,Medical Devices,,Private,1-50,Research Associate 1,Bachelors or Equivalent,3,80000,Not Applicable/None,Not Applicable/None,,
7/12/2022 22:27:26,"Raleigh, NC",Pharmaceutical (including “big pharma”),BioAgilytix ,Private,1000-5000,Accessioning Supervisor,High School or Equivalent,8,90000,"$13,500",Not Applicable/None,,
7/13/2022 1:20:38,"Boulder, CO",Pharmaceutical (including “big pharma”),,Public,50-200,Associate Director,PhD or Equivalent,14,185000,28000,Not Applicable/None,,
7/14/2022 22:11:48,San Diego,Pharmaceutical (including “big pharma”),Ionis,Public,200-1000,Senior Scientist,PhD or Equivalent,5,121000,15000,10000,7500,
7/14/2022 23:26:46,Boston,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Private,5000+,"Specialist, Assistant Manufacturing Engineer",Bachelors or Equivalent,1,83230,2469,Not Applicable/None,,
7/15/2022 0:06:28,Seattle,Cell therapy,,Public,1000-5000,Manager Quality Assurance,Masters or Equivalent,20,122000,14000,15000,25000,45000
7/15/2022 14:19:15,Los Angeles,Pharmaceutical (including “big pharma”),,Subsidiary,1000-5000,QA Specialist I,Bachelors or Equivalent,4,95000,7000,Not Applicable/None,8000,20000
7/15/2022 18:45:36,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,St. Scientist ,PhD or Equivalent,4,145000,15%,Not Applicable/None,,
7/16/2022 1:33:47,San Francisco ca,Pharmaceutical (including “big pharma”),,Start-up,50-200,Facilities technician,Associate’s Degree or Equivalent,1,70000,Not Applicable/None,Not Applicable/None,,
7/16/2022 1:34:02,San Francisco ca,Pharmaceutical (including “big pharma”),,Start-up,50-200,Facilities technician,Associate’s Degree or Equivalent,1,70000,Not Applicable/None,Not Applicable/None,,
7/18/2022 17:09:21,Dundee,Pharmaceutical (including “big pharma”),,Private,1-50,Senior Scientist,PhD or Equivalent,3,45000,Not Applicable/None,Not Applicable/None,,
7/18/2022 17:33:49,Bay area,Academia/Research,,Public,50-200,Senior research associate,Masters or Equivalent,6,94000,6000,Not Applicable/None,,
7/18/2022 21:00:40,Indianapolis,Pharmaceutical (including “big pharma”),Eli Lilly and Company,Public,5000+,Principal Scientist,Masters or Equivalent,5,95000,10000,Not Applicable/None,,
7/18/2022 21:13:46,"Houston, TX",Pharmaceutical (including “big pharma”),,Public,200-1000,Associates Principal Scientist,PhD or Equivalent,6,130000,15000,Not Applicable/None,,
7/18/2022 21:18:47,Boston ,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist II ,PhD or Equivalent,7,130000,15%,Not Applicable/None,,
7/18/2022 21:42:40,"Seattle, WA",Pharmaceutical (including “big pharma”),Just - Evotec,Subsidiary,50-200,Process Engineer 1,Bachelors or Equivalent,0,70000,3500,Not Applicable/None,,7500
7/18/2022 23:15:06,New Jersey,Medical Devices,,Public,1000-5000,Sr. Scientist,PhD or Equivalent,4,110000,10000,?,,
7/19/2022 8:07:59,Austria,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist,Masters or Equivalent,4,59000,Not Applicable/None,Not Applicable/None,,
7/19/2022 11:01:32,Boston,Medical Devices,,Start-up,50-200,Research Associate II,Bachelors or Equivalent,1,65000,Not Applicable/None,Not Applicable/None,1000,0
7/19/2022 13:11:00,"Austin, TX",Pharmaceutical (including “big pharma”),Xbiotech ,Public,50-200,QC Analyst,Bachelors or Equivalent,2,51000,Not Applicable/None,Not Applicable/None,,
7/19/2022 15:44:04,"RTP, North Carolina",Pharmaceutical (including “big pharma”),BioAgilytix,Private,1000-5000,Analyst II,Masters or Equivalent,1,62400,10%,Not Applicable/None,,
7/19/2022 22:43:58,Boston ,Pharmaceutical (including “big pharma”),,Start-up,1-50,Director ,PhD or Equivalent,15,210000,42000,Not Applicable/None,,
7/19/2022 23:39:31,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist II ,PhD or Equivalent,0,125000,15%,Not Applicable/None,20000,10000
